Settled Transactions 01/01/2020 to 08/10/2026
Transaction Date	Description	Type	Units	Price	Total Amount
12/13/2024	Schwab Small Cap Index	REINVESTED DIVIDEND	3.59	$37.55	$134.81
02/17/2022	Vanguard Total Int Stk Idx Adm	CONVERSION BALANCE	50.056	$33.31	$1,667.37
02/17/2022	Vanguard Mstar Growth Idx I	CONVERSION BALANCE	11.443	$142.81	$1,634.17
02/17/2022	Vanguard Extended Mkt Idx Inst	CONVERSION BALANCE	12.169	$123.63	$1,504.45
02/17/2022	Schwab Small Cap Index	CONVERSION BALANCE	47.303	$32.48	$1,536.40
06/22/2022	Vanguard Extended Mkt Idx Inst	REINVESTED DIVIDEND	0.023	$98.79	$2.29
06/22/2022	Vanguard Mstar Growth Idx I	REINVESTED DIVIDEND	0.016	$114.58	$1.88
06/17/2022	Vanguard Total Int Stk Idx Adm	REINVESTED DIVIDEND	0.573	$27.36	$15.68
05/02/2022	Vanguard Total Int Stk Idx Adm	SALE OF RECORDKEEPING FEE	0.157	$29.95	$4.70
05/02/2022	Vanguard Mstar Growth Idx I	SALE OF RECORDKEEPING FEE	0.035	$130.61	$4.61
05/02/2022	Vanguard Extended Mkt Idx Inst	SALE OF RECORDKEEPING FEE	0.038	$113.66	$4.27
05/02/2022	Schwab Small Cap Index	SALE OF RECORDKEEPING FEE	0.146	$30.23	$4.42
03/22/2022	Vanguard Mstar Growth Idx I	REINVESTED DIVIDEND	0.012	$146.59	$1.77
03/22/2022	Vanguard Extended Mkt Idx Inst	REINVESTED DIVIDEND	0.011	$126.16	$1.41
03/18/2022	Vanguard Total Int Stk Idx Adm	REINVESTED DIVIDEND	0.079	$31.97	$2.54
03/22/2023	Vanguard Mstar Growth Idx I	REINVESTED DIVIDEND	0.053	$122.55	$6.45
03/17/2023	Vanguard Total Intl Stk Idx I	REINVESTED DIVIDEND	0.071	$112.35	$7.96
03/09/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.625	$115.60	$72.25
03/09/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.608	$118.81	$72.25
03/09/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.68	$106.30	$72.25
03/09/2023	Schwab Small Cap Index	BUY INVESTMENTS	2.462	$29.35	$72.25
02/24/2023	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.628	$115.42	$72.50
02/24/2023	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.611	$118.69	$72.50
02/24/2023	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.662	$109.55	$72.50
02/24/2023	Schwab Small Cap Index	BUY INVESTMENTS	2.389	$30.35	$72.50
